name,rating,studio,genre,actor1,actor2,actor3,writer,director,date,origin,metascore,Worldwide Gross
Catch Me If You Can,PG,DreamWorks Distribution LLC,Drama,Leonardo DiCaprio,Tom Hanks,Christopher Walken,Jeff Nathanson,Steven Spielberg,2003,USA,76,337400000
American Beauty,R,DreamWorks,Drama,Kevin Spacey,Annette Bening,Thora Birch,Alan Ball,Sam Mendes,2000,USA,86,336000000
Batman Forever,PG,Warner Bros.,Action,Val Kilmer,Tommy Lee Jones,Jim Carrey,Lee Batchler,Joel Schumacher,2005,USA,51,335000000
Apollo 13,PG,MCA / Universal Pictures,Drama,Tom Hanks,Bill Paxton,Kevin Bacon,Jim Lovell & Jeffrey Kluger,Ron Howard,2005,USA,77,334100000
The Rock,R,Buena Vista Pictures,Action,Sean Connery,Nicolas Cage,Ed Harris,David Weisberg,Michael Bay,2001,USA,59,330500000
Over the Hedge,PG,Paramount Pictures,Animation,Bruce Willis,Garry Shandling,Steve Carell,Len Blum,Tim Johnson,2006,USA,67,329619340
Fantastic Four,PG,Twentieth Century Fox Film Corp.,Action,Ioan Gruffudd,Michael Chiklis,Jessica Alba,Michael France,Tim Story,2005,USA / Germany,40,329295569
Rush Hour 2,PG,New Line Cinema,Crime,Jackie Chan,Chris Tucker,Chris Penn,Ross LaManna,Brett Ratner,2001,USA,48,329100000
The Perfect Storm,PG,Warner Bros.,Suspense/Thriller,George Clooney,Mark Wahlberg,Diane Lane,Sebastian Junger,Wolfgang Petersen,2000,USA,59,327000000
The Devil Wears Prada,PG,Twentieth Century Fox Film Corporation,Comedy,Meryl Streep,Anne Hathaway,Emily Blunt,Aline Brosh McKenna,David Frankel,2006,USA,62,324432962
Schindler's List,R,MCA/Universal Pictures,War,Liam Neeson,Ben Kingsley,Ralph Fiennes,Steven Zaillian,Steven Spielberg,2004,USA,93,321200000
The Mask,PG,New Line Cinema,Action,Jim Carrey,Cameron Diaz,Peter Riegert,Mike Werb,Chuck Russell,1997,USA,56,320900000
Fatal Attraction,R,Paramount Pictures,Drama,Michael Douglas,Glenn Close,Anne Archer,Nicholas Meyer,Adrian Lyne,2002,USA,67,320100000
Lethal Weapon 3,R,Warner Bros. Pictures,Action,Mel Gibson,Danny Glover,Rene Russo,Robert Mark Kamen,Richard Donner,1997,USA,36,319700000
Air Force One,R,Columbia Pictures,Action,Harrison Ford,Gary Oldman,Glenn Close,Andrew W. Marlowe,Wolfgang Petersen,1998,USA,61,315000000
As Good As It Gets,PG,Sony Pictures Entertainment,Romance,Jack Nicholson,Helen Hunt,Greg Kinnear,Mark Andrus,James L. Brooks,1998,USA,67,313300000
Ocean's Thirteen,PG,Warner Bros. Pictures,Comedy,Brad Pitt,George Clooney,Matt Damon,Brian Koppelman,Steven Soderbergh,2007,USA,62,311144465
Austin Powers: The Spy Who Shagged Me,PG,New Line Cinema,Comedy,Mike Myers,Heather Graham,Michael York,Mike Myers,Jay Roach,1999,USA,59,309600000
Ransom,R,Buena Vista Pictures,Action,Mel Gibson,Rene Russo,Brawley Nolte,Richard Price,Ron Howard,2005,USA,60,308700000
Runaway Bride,PG,Paramount Pictures,Romance,Julia Roberts,Richard Gere,Joan Cusack,Josann McGibbon,Garry Marshall,2000,USA,39,307900000
Chicago,PG,Miramax Films,Musical,Catherine ZetiJones,Rene Zellweger,Richard Gere,Bill Condon,Rob Marshall,2003,USA / Canada,82,306400000
Liar Liar,PG,MCA / Universal Pictures,Comedy,Jim Carrey,Maura Tierney,Justin Cooper,Paul Guay,Tom Shadyac,2003,USA,68,306300000
Shark Tale,PG,DreamWorks Distribution LLC,Animation,Will Smith,Robert De Niro,Rene Zellweger,Rob Letterman,Bibo Bergeron,2005,USA,48,306162022
101 Dalmatians,G,Buena Vista Pictures,Adventure,Glenn Close,Jeff Daniels,Joely Richardson,John Hughes,Stephen Herek,1998,USA,49,304200000
Mulan,G,Buena Vista Pictures / Walt Disney Pictures,Adventure,Ming-Na,B.D. Wong,Soon-Tek Oh,Rita Hsiao,Tony Bancroft,2004,USA,71,303500000
First Blood,R,Orion Pictures Corporation,Action,Sylvester Stallone,Richard Crenna,Brian Dennehy,Michael Kozoll,Ted Kotcheff,1998,USA,62,300400000
Chicken Little,G,Buena Vista Pictures,Action,Zach Braff,Garry Marshall,Joan Cusack,Steve Bencich,Mark Dindal,2006,USA,48,298181507
The Pursuit of Happyness,PG,Columbia Pictures / Sony Pictures Entertainment,Drama,Will Smith,Jaden Smith,Thandie Newton,Steve Conrad,Gabriele Muccino,2007,USA,64,297986036
Stuart Little,PG,Sony Pictures Entertainment,Fantasy,Jonathan Lipnicki,Geena Davis,Hugh Laurie,E.B. White,Rob Minkoff,2000,USA,61,297600000
Look Who's Talking,PG,Columbia Pictures,Comedy,John Travolta,Kirstie Alley,Olympia Dukakis,Amy Heckerling,Amy Heckerling,1998,USA,51,297100000
Meet The Parents,PG,Universal Pictures,Comedy,Ben Stiller,Robert De Niro,Nicole DeHuff,Greg Glienna,Jay Roach,1969,USA,73,295500000
X-Men,PG,20th Century Fox Film Corp.,Sci-fi,Patrick Stewart,Hugh Jackson,Ian McKellen,Tom DeSanto,Bryan Singer,2000,USA,64,294100000
Superman,PG,Warner Bros.,Action,Christopher Reeve,Marlon Brando,Gene Hackman,Jerry Siegel,Richard Donner,2001,USA,88,289400000
The Departed,R,Warner Bros. Pictures,Crime,Leonardo DiCaprio,Matt Damon,Jack Nicholson,William Monahan,Martin Scorsese,2007,USA,86,289373442
Shakespeare in Love,R,Miramax Films,Romance,Gwyneth Paltrow,Joseph Fiennes,Geoffrey Rush,Marc Norman,John Madden,1999,USA / UK,87,289100000
Austin Powers in Goldmember,PG,New Line Cinema,Comedy,Mike Myers,Beyonce Knowles,Michael York,Mike Myers,Jay Roach,2002,USA,62,289000000
Coming to America,R,Paramount Pictures,Comedy,Eddie Murphy,Arsenio Hall,James Earl Jones,Eddie Murphy,John Landis,1999,USA,48,288800000
My Best Friend's Wedding,PG,Sony Pictures Entertainment,Romance,Julia Roberts,Dermot Mulroney,Cameron Diaz,Ronald Bass,P.J. Hogan,2001,USA,50,286900000
Lethal Weapon 4,R,Warner Bros.,Suspense/Thriller,Mel Gibson,Danny Glover,Joe Pesci,Channing Gibson,Richard Donner,2001,USA,37,284700000
