name,rating,studio,genre,actor1,actor2,actor3,writer,director,date,origin,metascore,Worldwide Gross
Vertical Limit,PG,Columbia Pictures,Adventure,Chris O'Donnell,Bill Paxton,Robin Tunney,Robert King,Martin Campbell,2001,USA,48,212300000
Ace Ventura: When Nature Calls,PG,Warner Bros.,Action,Jim Carrey,Ian McNeice,Simon Callow,Steve Oedekerk,Steve Oedekerk,1997,USA,45,212300000
Disclosure,R,Warner Bros.,Drama,Michael Douglas,Demi Moore,Donald Sutherland,Michael Crichton,Barry Levinson,1997,USA,58,212000000
Entrapment,PG,20th Century Fox Film Corporation,Suspense/Thriller,Sean Connery,Catherine ZetiJones,Ving Rhames,Ronald Bass,Jon Amiel,2000,USA / UK / Germany,54,211700000
Master and Commander: The Far Side of the World,PG,20th Century Fox Film Corporation,Action,Russell Crowe,Paul Bettany,James D'Arcy,Peter Weir,Peter Weir,2004,USA,81,210326386
The Others,PG,Dimension Films,Suspense/Thriller,Nicole Kidman,Christopher Eccleston,Fionnula Flanagan,Alejandro AmenA!bar,Alejandro AmenA!bar,2002,France / Spain / USA,74,209700000
End of Days,R,Universal Pictures,Suspense/Thriller,Arnold Shwarzenneger,Gabriel Byrne,Robin Tunney,Andrew W. Marlowe,Peter Hyams,2000,USA,33,209300000
Red Dragon,R,MCA/Universal Pictures,Suspense/Thriller,Anthony Hopkins,Edward Norton,Ralph Fiennes,Ted Tally,Brett Ratner,2003,USA,60,208600000
Kingdom of Heaven,R,20th Century Fox Pictures,Action,Orlando Bloom,Eva Green,Brendan Gleeson,William Monahan,Ridley Scott,2005,USA / Spain / UK,63,208300000
Collateral,R,DreamWorks Distribution LLC,Action,Tom Cruise,Jamie Foxx,Jada Pinkett Smith,Stuart Beattie,Michael Mann,2004,USA,71,208003492
Clear and Present Danger,PG,Paramount Pictures,Action,Harrison Ford,Willem Dafoe,Anne Archer,Tom Clancy,Phillip Noyce,2002,USA,74,207500000
Million Dollar Baby,PG,Warner Bros.,Drama,Clint Eastwood,Hilary Swank,Morgan Freeman,Paul Haggis,Clint Eastwood,2005,USA,86,207400000
Miss Congeniality,PG,Warner Bros.,Comedy,Sandra Bullock,Benjamin Bratt,Michael Caine,Marc Lawrence,Donald Petrie,2001,USA,43,207000000
JFK,R,Warner Bros. Pictures,Drama,Kevin Costner,Tommy Lee Jones,Kevin Bacon,Oliver Stone,Oliver Stone,1997,USA,71,205400000
Traffic,R,USA Films,Drama,Michael Douglas,Don Cheadle,Benicio Del Toro,Simon Moore,Steven Soderbergh,2001,Germany / USA,86,204800000
Braveheart,R,Paramount Pictures,War,Mel Gibson,Sophie Marceau,Patrick McGoohan,Randall Wallace,Mel Gibson,2000,USA,66,204000000
The Break-Up,PG,Universal Pictures,Comedy,Jennifer Aniston,Vince Vaughn,Jon Favreau,Jeremy Garelick,Peyton Reed,2006,USA,45,202483135
Sleepy Hollow,R,Paramount Pictures,Romance,Johnny Depp,Christina Ricci,Casper Van Dien,Washington Irving,Tim Burton,2000,USA,65,202000000
Kindergarten Cop,PG,Universal Pictures,Action,Arnold Schwarzenegger,Penelope Ann Miller,Pamela Reed,Murray Salem,Ivan Reitman,1998,USA,61,202000000
American Pie,R,Universal Pictures,Comedy,Jason Biggs,Eugene Levy,Chris Klein,Adam Herz,Paul Weitz,1999,USA,58,201700000
Philadelphia,PG,TriStar Pictures,Drama,Tom Hanks,Denzel Washington,Antonio Banderas,Ron Nyswaner,Jonathan Demme,2004,USA,66,201300000
Vanilla Sky,R,Paramount Pictures,Suspense/Thriller,Tom Cruise,Penelope Cruz,Kurt Russell,Cameron Crowe,Cameron Crowe,2002,USA,45,201000000
Brokeback Mountain,R,Focus Features,Drama,Jake Gyllenhaal,Heath Ledger,Michelle Williams,Larry McMurtry,Ang Lee,2006,USA,87,180343761
Mr. Deeds,PG,Columbia Pictures / Sony Pictures Entertainment,Romance,Adam Sandler,Winona Ryder,John Turturro,Tim Herlihy,Steven Brill,2002,USA,24,171269535
Alien vs. Predator,PG,Twentieth Century Fox Film Corporation,Action,Sanaa Lathan,Raoul Bova,Lance Henriksen,Paul W.S. Anderson,Paul W.S. Anderson,2005,Czech Republic / Canada,29,171181096
Mystic River,R,Warner Bros.,Drama,Sean Penn,Tim Robbins,Kevin Bacon,Brian Helgeland,Clint Eastwood,2004,USA,84,156835191
Kill Bill: Volume 2,R,Miramax Films,Action,Uma Thurman,David Carradine,Sonny Chiba,Quentin Tarantino,Quentin Tarantino,2004,USA,83,150907920
L.A. Confidential,R,Warner Bros.,Mystery,Kevin Spacey,Russell Crowe,Guy Pearce,James Ellroy,Curtis Hanson,1998,USA,90,126216940
Mortal Kombat,PG,New Line Cinema,Action,Christopher Lambert,Robin Shou,Linden Ashby,Kevin Droney,Paul W.S. Anderson,1997,USA,58,122133227
Beverly Hills Cop III,R,Paramount Pictures,Adventure,Eddie Murphy,Judge Reinhold,Bronson Pinchot,Danilo Bach,John Landis,2002,USA,15,119180938
The Queen,PG,Miramax Films,Drama,Helen Mirren,Michael Sheen,James Cromwell,Peter Morgan,Stephen Frears,2007,UK / France / Italy,91,113559950
Sideways,R,Fox Searchlight Pictures,Adventure,Paul Giamatti,Thomas Haden Church,Virginia Madsen,Alexander Payne,Alexander Payne,2005,USA,94,109502303
Superman II,PG,Warner Bros. Pictures,Action,Gene Hackman,Christopher Reeve,Ned Beatty,Mario Puzo,Richard Lester,2001,UK,99,108185706
Lost in Translation,R,Focus Features,Comedy,Scarlett Johansson,Bill Murray,Giovanni Ribisi,Sofia Coppola,Sofia Coppola,2004,USA,89,106454000
The Iron Giant,PG,Warner Brothers,Sci-fi,Jennifer Aniston,Vin Diesel,Harry Connick,Brad Bird,Brad Bird,1999,USA,85,103159305
Unforgiven,R,Warner Bros.,Western,Clint Eastwood,Gene Hackman,Morgan Freeman,David Webb Peoples,Clint Eastwood,1997,USA,82,101157447
Wallace & Gromit: The Curse of the Were-Rabbit,G,DreamWorks Distribution LLC,Adventure,Peter Sallis,Ralph Fiennes,Helena Bonham Carter,Bob Baker,Steve Box,2006,UK,87,93363420
Shanghai Noon,PG,Buena Vista Pictures,Western,Jackie Chan,Owen Wilson,Rafael Baez,Miles Millar,Tom Dey,2000,USA,77,71189835
Lawrence of Arabia ,PG,Columbia Pictures,War,Peter O'Toole,Alec Guinness,Anthony Quinn,Robert Bolt,David Lean,2001,UK,100,69995385
Children of Men,R,Universal Pictures,Adventure,Clive Owen,Julianne Moore,Michael Caine,Alfonso Cuaron,Alfonso Cuaron,2007,UK / USA,84,69450202
The French Connection,R,Two Boots Pioneer Theater,Suspense/Thriller,Gene Hackman,Fernando Rey,Roy Scheider,Ernest Tidyman,William Friedkin,2001,USA,96,51700000
Mortal Kombat: Annihilation,PG,New Line Cinema,Action,Robin Shou,James Remar,Talisa Soto,Brent V. Friedman & Bryce Zabel,John R. Leonetti,2004,USA,11,51327406
Yu-Gi-Oh!,PG,Warner Bros. Pictures Inc.,Action,Dan Green,Eric Stuart,Scottie Ray,,RyA'suke Takahashi,2004,Japan,15,28762690
Bratz: The Movie,No,Lionsgate,Comedy,Anneliese van der Pol,Stephen Lunsford,Paula Abdul,Adam De La Pena,Sean McNamara,2007,USA,21,25747223
Showgirls,NC,MGM,Drama,Elizabeth Berkley,Kyle MacLachlan,Gina Gershon,Joe Eszterhas,Paul Verhoeven,2000,USA,16,20254932
Daddy Day Camp,PG,Sony Pictures,Comedy,Cuba Gooding Jr.,Paul Rae,Josh McLerran,Joel Cohen,Fred Savage,2008,USA,13,18197398
The Postman,R,Warner Bros.,Action,Kevin Costner,Will Patton,Larenz Tate,Eric Roth,Kevin Costner,2004,USA,29,17650704
American Splendor,R,Fine Line Features,Drama,Paul Giamatti,Hope Davis,Harvey Pekar,Shari Springer Berman,Shari Springer Berman,2004,USA,90,7978681
The Adventures of Pluto Nash,PG,Warner Bros.,Sci-fi,Eddie Murphy,Randy Quaid,Rosario Dawson,Neil Cuthbert,Ron Underwood,2002,USA,12,7094995
Fanny and Alexander ,No,Janus Films,Classic,Pernilla Allwin,Bertil Guve,Ewa Froling,Ingmar Bergman,Ingmar Bergman,2004,Sweden / France / West Germany,100,4971340
